Date,Open,trueTomorrow,predictedTomorrow,predictedAction,predicted,residual,stock
2019-11-14,1.019999981,1.00999999,1.014670842,sell,1.002369703,-0.017630278,ford
2019-11-15,1.00999999,1,1.011481128,buy,1.014670842,0.004670852,ford
2019-11-18,1,1.00999999,1.003088463,buy,1.011481128,0.011481128,ford
2019-11-19,1.00999999,0.99000001,1.005539838,sell,1.003088463,-0.006911527,ford
2019-11-20,0.99000001,1,0.993739973,buy,1.005539838,0.015539828,ford
2019-11-21,1,1.00999999,0.995097172,sell,0.993739973,-0.006260027,ford
2019-11-22,1.00999999,1.00999999,1.000522112,sell,0.995097172,-0.014902819,ford
2019-11-25,1.00999999,1,1.003225829,sell,1.000522112,-0.009477878,ford
2019-11-26,1,1.029999971,0.997873955,sell,1.003225829,0.003225829,ford
2019-11-27,1.029999971,1.019999981,1.01507854,sell,0.997873955,-0.032126017,ford
2019-11-29,1.019999981,1.029999971,1.014936584,sell,1.01507854,-0.004921441,ford
2019-12-02,1.029999971,1.059999943,1.020982883,sell,1.014936584,-0.015063388,ford
2019-12-03,1.059999943,1.00999999,1.042206511,sell,1.020982883,-0.03901706,ford
2019-12-04,1.00999999,1.029999971,1.017960457,buy,1.042206511,0.032206521,ford
2019-12-05,1.029999971,1.039999962,1.021995227,sell,1.017960457,-0.012039514,ford
2019-12-06,1.039999962,1.019999981,1.030219373,sell,1.021995227,-0.018004735,ford
2019-12-09,1.019999981,1.00999999,1.020504145,buy,1.030219373,0.010219393,ford
2019-12-10,1.00999999,1,1.010077979,buy,1.020504145,0.010504155,ford
2019-12-11,1,1,1.001998283,buy,1.010077979,0.010077979,ford
2019-12-12,1,0.970000029,0.998538227,sell,1.001998283,0.001998283,ford
2019-12-13,0.970000029,1.00999999,0.9781734,buy,0.998538227,0.028538199,ford
2019-12-16,1.00999999,0.99000001,0.995611503,sell,0.9781734,-0.03182659,ford
2019-12-17,0.99000001,0.980000019,0.990096501,buy,0.995611503,0.005611493,ford
2019-12-18,0.980000019,1.049999952,0.982024831,buy,0.990096501,0.010096482,ford
2019-12-19,1.049999952,1.019999981,1.022769209,sell,0.982024831,-0.067975121,ford
2019-12-20,1.019999981,1.029999971,1.017079737,sell,1.022769209,0.002769228,ford
2019-12-23,1.029999971,0.980000019,1.020615497,sell,1.017079737,-0.012920235,ford
2019-12-24,0.980000019,0.99000001,0.99249621,buy,1.020615497,0.040615478,ford
2019-12-26,0.99000001,1,0.99030355,buy,0.99249621,0.002496201,ford
2019-12-27,1,0.99000001,0.995567638,sell,0.99030355,-0.00969645,ford
2019-12-30,0.99000001,0.99000001,0.988677606,sell,0.995567638,0.005567629,ford
2019-12-31,0.99000001,1,0.986244949,sell,0.988677606,-0.001322403,ford
2020-01-02,1,0.99000001,0.991742703,sell,0.986244949,-0.013755051,ford
2020-01-03,0.99000001,0.99000001,0.987574803,sell,0.991742703,0.001742693,ford
2020-01-06,0.99000001,1.039999962,0.985133354,sell,0.987574803,-0.002425206,ford
2020-01-07,1.039999962,1.029999971,1.016054986,sell,0.985133354,-0.054866608,ford
2020-01-08,1.029999971,1.039999962,1.019016402,sell,1.016054986,-0.013944985,ford
2020-01-09,1.039999962,1.049999952,1.025353762,sell,1.019016402,-0.02098356,ford
2020-01-10,1.049999952,1.25,1.036132394,sell,1.025353762,-0.02464619,ford
2020-01-13,1.25,1.120000005,1.168803168,sell,1.036132394,-0.213867606,ford
2020-01-14,1.120000005,1.100000024,1.126788919,buy,1.168803168,0.048803163,ford
2020-01-15,1.100000024,1.110000014,1.099635741,sell,1.126788919,0.026788895,ford
2020-01-16,1.110000014,1.100000024,1.101659479,sell,1.099635741,-0.010364274,ford
2020-01-17,1.100000024,1.100000024,1.095353948,sell,1.101659479,0.001659456,ford
2020-01-21,1.100000024,1.110000014,1.092375757,sell,1.095353948,-0.004646075,ford
